[BEGIN ONEBODY SEQPOS/ROTINDEX/ENERGY]
4	1	77.7359
5	1	-3.48836
5	2	-4.02607
5	3	-2.16137
8	1	856.235
24	1	133.59
38	1	212.106
[END ONEBODY SEQPOS/ROTINDEX/ENERGY]
[BEGIN TWOBODY SEQPOS1/ROTINDEX1/SEQPOS2/ROTINDEX2/ENERGY]
4	1	5	1	0.382257
4	1	5	2	0.349412
4	1	5	3	0.308095
4	1	8	1	802.125
4	1	24	1	4357.81
4	1	38	1	1613.55
5	1	8	1	-1.67796
5	2	8	1	-1.73873
5	3	8	1	-1.76152
5	1	24	1	-0.0994334
5	2	24	1	-0.100119
5	3	24	1	-0.0985595
5	1	38	1	124.697
5	2	38	1	124.703
5	3	38	1	124.768
8	1	24	1	893.799
8	1	38	1	978.106
24	1	38	1	1923.45
[END TWOBODY SEQPOS1/ROTINDEX1/SEQPOS2/ROTINDEX2/ENERGY]
