[BEGIN ONEBODY SEQPOS/ROTINDEX/ENERGY]
4	1	376.196
5	1	-3.29272
5	2	-2.7626
5	3	-2.65932
5	4	-0.648642
5	5	-1.86359
5	6	0.516857
5	7	-1.7078
8	1	537.56
38	1	-0.322238
[END ONEBODY SEQPOS/ROTINDEX/ENERGY]
[BEGIN TWOBODY SEQPOS1/ROTINDEX1/SEQPOS2/ROTINDEX2/ENERGY]
4	1	5	1	0.81479
4	1	5	2	0.822974
4	1	5	3	0.821758
4	1	5	4	0.836819
4	1	5	5	0.834575
4	1	5	6	0.82068
4	1	5	7	0.821279
4	1	8	1	-1.90695
4	1	38	1	421.787
5	1	8	1	-1.22529
5	2	8	1	-1.21468
5	3	8	1	-1.15876
5	4	8	1	-1.14152
5	5	8	1	-1.23513
5	6	8	1	-1.1458
5	7	8	1	-1.19166
5	1	38	1	119.472
5	2	38	1	119.422
5	3	38	1	120.031
5	4	38	1	119.954
5	5	38	1	119.53
5	6	38	1	119.735
5	7	38	1	119.492
8	1	38	1	558.091
[END TWOBODY SEQPOS1/ROTINDEX1/SEQPOS2/ROTINDEX2/ENERGY]
