[BEGIN ONEBODY SEQPOS/ROTINDEX/ENERGY]
14	1	12.9841
15	1	-3.25785
15	2	-1.74255
15	3	-2.28515
18	1	4.16925
28	1	-2.72369
28	2	-4.30648
[END ONEBODY SEQPOS/ROTINDEX/ENERGY]
[BEGIN TWOBODY SEQPOS1/ROTINDEX1/SEQPOS2/ROTINDEX2/ENERGY]
14	1	15	1	0.394292
14	1	15	2	0.361159
14	1	15	3	0.392984
14	1	18	1	593.109
14	1	28	1	1552.15
14	1	28	2	1613.17
15	1	18	1	-1.60289
15	2	18	1	-1.66266
15	3	18	1	-1.58403
15	1	28	1	-1.07622
15	1	28	2	-1.31476
15	2	28	1	-1.05502
15	2	28	2	-1.30448
15	3	28	1	-1.03544
15	3	28	2	-1.25822
18	1	28	1	2366.44
18	1	28	2	2268.99
[END TWOBODY SEQPOS1/ROTINDEX1/SEQPOS2/ROTINDEX2/ENERGY]
